sector,industry,subindustry,ssic2010,ssic2015
Manufacturing,Precision Engineering (CMA),Machinery & Systems,28229,28229
Manufacturing,Precision Engineering (CMA),Machinery & Systems,28243,28243
Manufacturing,Precision Engineering (CMA),Machinery & Systems,28249,28249
Manufacturing,Precision Engineering (CMA),Machinery & Systems,28251,28251
Manufacturing,Precision Engineering (CMA),Machinery & Systems,28252,28252
Manufacturing,Precision Engineering (CMA),Machinery & Systems,28253,28253
Manufacturing,Precision Engineering (CMA),Machinery & Systems,28260,28260
Manufacturing,Precision Engineering (CMA),Machinery & Systems,28273,28273
Manufacturing,Precision Engineering (CMA),Machinery & Systems,28274,28274
Manufacturing,Precision Engineering (CMA),Machinery & Systems,28291,28291
Manufacturing,Precision Engineering (CMA),Machinery & Systems,28292,28292
Manufacturing,Precision Engineering (CMA),Machinery & Systems,28293,28293
Manufacturing,Precision Engineering (CMA),Machinery & Systems,28299,28299
Manufacturing,Precision Engineering (CMA),Machinery & Systems,28300,28300
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,22191,22191
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,22192,22192
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,22193,22193
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,22199,22199
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,22211,22211
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,22214,22214
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,22215,22215
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,22216,22216
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,22218,22218
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,22219,22219
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,22220,22220
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25113,25113
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25911,25911
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25912,25912
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25913,25913
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25914,25914
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25915,25915
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25919,25919
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25921,25921
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25922,25922
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25923,25923
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25924,25924
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25929,25929
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25931,25931
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25932,25932
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25939,25939
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25941,25941
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25949,25949
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25951,25951
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25959,25959
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25993,25993
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25995,25995
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25997,25997
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25998,25998
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,25999,25999
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,26128,26127
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,26521,26521
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,26522,26522
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,26523,26523
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,26524,26524
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,26701,26701
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,26709,26709
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,27101,27101
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,27321,27321
